event_date,event_type,sub_event_type,latitude,longitude,fatalities
2024-10-18,Explosions/Remote violence,Air/drone strike,47.5621,35.6972,0
2024-10-18,Explosions/Remote violence,Air/drone strike,47.5325,35.8978,0
2024-10-18,Explosions/Remote violence,Air/drone strike,47.7457,36.5958,0
2024-10-18,Strategic developments,Disrupted weapons use,50.2649,28.6767,0
2024-10-18,Explosions/Remote violence,Air/drone strike,47.8659,37.4083,0
2024-10-18,Explosions/Remote violence,Air/drone strike,47.6354,34.6277,0
2024-10-18,Explosions/Remote violence,Remote explosive/landmine/IED,48.0179,38.2698,0
2024-10-16,Explosions/Remote violence,Shelling/artillery/missile attack,51.9507,33.9347,0
2024-10-18,Explosions/Remote violence,Remote explosive/landmine/IED,47.0804,33.3162,0
2024-10-18,Explosions/Remote violence,Shelling/artillery/missile attack,48.5956,37.9999,0
2024-10-01,Battles,Armed clash,47.9636,37.4383,0
2024-10-01,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-02,Battles,Armed clash,47.9636,37.4383,0
2024-10-02,Explosions/Remote violence,Shelling/artillery/missile attack,51.243,34.4629,0
2024-10-03,Battles,Armed clash,47.9636,37.4383,17
2024-10-03,Battles,Armed clash,47.9749,37.3933,17
2024-10-03,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-03,Explosions/Remote violence,Air/drone strike,52.0186,31.8535,3
2024-10-04,Battles,Armed clash,47.9935,37.4014,0
2024-10-04,Battles,Armed clash,47.9636,37.4383,0
2024-10-04,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-08,Battles,Armed clash,47.9636,37.4383,0
2024-10-08,Battles,Armed clash,47.9935,37.4014,0
2024-10-08,Battles,Armed clash,48.0307,37.3728,0
2024-10-08,Battles,Armed clash,47.9749,37.3933,0
2024-10-08,Battles,Armed clash,48.0546,37.2906,0
2024-10-08,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-09,Battles,Armed clash,47.9636,37.4383,0
2024-10-09,Battles,Armed clash,47.9935,37.4014,0
2024-10-09,Battles,Armed clash,48.0307,37.3728,0
2024-10-09,Battles,Armed clash,48.0546,37.2906,0
2024-10-09,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-10,Battles,Armed clash,47.9636,37.4383,6
2024-10-08,Battles,Non-state actor overtakes territory,48.0355,37.3966,0
2024-10-10,Battles,Armed clash,48.0546,37.2906,6
2024-10-10,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-11,Battles,Armed clash,48.0307,37.3728,0
2024-10-11,Battles,Armed clash,47.9749,37.3933,0
2024-10-11,Battles,Armed clash,48.0546,37.2906,0
